,urlid,label
0,5865,1
1,782,0
2,6962,0
3,7640,0
4,3589,0
5,6719,0
6,3905,0
7,9841,1
8,7447,0
9,4776,0
10,2879,0
11,2620,0
12,10479,0
13,1105,0
14,1849,1
15,8286,0
16,8344,1
17,10486,1
18,8661,1
19,7188,0
20,1433,1
21,677,1
22,469,1
23,6988,0
24,8024,0
25,6896,0
26,9154,0
27,342,0
28,50,0
29,983,0
30,6933,0
31,8271,0
32,5602,0
33,4505,0
34,4966,1
35,2390,0
36,6736,0
37,4660,1
38,7560,1
39,3840,1
40,5823,1
41,5789,1
42,1595,0
43,6770,1
44,3522,1
45,5584,1
46,8323,1
47,3862,1
48,373,0
49,7345,0
50,7708,1
51,1398,1
52,4298,0
53,7467,0
54,1878,1
55,1832,0
56,625,0
57,7438,0
58,9961,1
59,7117,0
60,8190,0
61,1713,1
62,949,0
63,9246,0
64,2326,0
65,8942,0
66,4458,1
67,4659,1
68,9522,0
69,2497,1
70,9836,0
71,3808,1
72,5575,1
73,5714,0
74,2490,1
75,6812,0
76,4335,0
77,10014,1
78,5889,1
79,482,1
80,8082,0
81,5856,1
82,8866,0
83,2624,1
84,1371,1
85,4436,0
86,2972,1
87,3638,1
88,6249,0
89,7602,0
90,9624,1
91,7567,0
92,6578,0
93,7590,0
94,8590,1
95,10520,1
96,1906,0
97,1373,0
98,1601,1
99,4754,0
100,8208,0
101,1658,1
102,1352,1
103,8143,1
104,7760,1
105,7836,0
106,9769,0
107,503,1
108,4909,0
109,7162,0
110,10035,1
111,1992,1
112,6133,0
113,8519,0
114,1879,0
115,7107,0
116,1225,0
117,2451,1
118,8252,0
119,9214,1
120,4850,1
121,5891,0
122,5274,0
123,8623,0
124,562,1
125,860,0
126,4199,1
127,7616,0
128,10544,0
129,1567,1
130,6552,0
131,954,0
132,111,0
133,7036,1
134,1995,1
135,7095,0
136,10180,1
137,6872,1
138,4805,1
139,355,1
140,8097,1
141,9271,1
142,431,0
143,1646,0
144,143,1
145,3436,0
146,150,1
147,9745,0
148,715,0
149,578,0
150,8684,1
151,1186,1
152,9115,0
153,9239,0
154,5461,1
155,5424,0
156,1349,1
157,609,1
158,7569,0
159,1622,0
160,6541,0
161,9873,1
162,305,0
163,6041,0
164,5360,0
165,8445,1
166,7260,0
167,4526,1
168,138,1
169,168,0
170,7888,1
171,4639,1
172,867,0
173,9673,1
174,710,0
175,4749,0
176,4716,0
177,410,1
178,2155,1
179,3289,0
180,7774,0
181,1200,0
182,9057,0
183,2261,0
184,9612,0
185,4987,1
186,3605,1
187,5068,1
188,4474,1
189,5831,1
190,4729,0
191,10060,0
192,6895,0
193,3791,1
194,7910,0
195,4209,0
196,4984,1
197,1773,0
198,2101,0
199,7251,0
200,2887,0
201,875,1
202,8185,0
203,9688,1
204,5342,0
205,6802,1
206,3077,0
207,712,0
208,3026,0
209,2640,0
210,4872,1
211,3334,1
212,2431,0
213,9218,0
214,7417,1
215,3563,1
216,1006,0
217,8940,0
218,7703,0
219,2686,0
220,8159,1
221,37,0
222,65,0
223,1910,0
224,2202,1
225,9717,1
226,2388,1
227,2365,0
228,5072,1
229,4614,0
230,6955,0
231,4094,0
232,3319,1
233,1456,1
234,5381,1
235,4479,0
236,4766,0
237,6076,1
238,8064,0
239,3416,1
240,4892,0
241,9942,1
242,9215,0
243,4506,1
244,9275,0
245,1306,1
246,6828,1
247,8368,1
248,7205,0
249,360,1
250,3386,0
251,3835,1
252,1305,0
253,7963,0
254,2073,0
255,4230,0
256,9012,0
257,2723,1
258,6788,1
259,7945,0
260,4868,1
261,6597,0
262,7323,0
263,6229,0
264,3427,0
265,7727,0
266,4707,1
267,2547,1
268,4523,1
269,9648,0
270,1084,0
271,3327,1
272,5591,0
273,186,0
274,2938,0
275,9912,1
276,6047,0
277,2417,1
278,10533,0
279,1137,0
280,1533,1
281,9233,1
282,43,0
283,8986,0
284,6000,1
285,480,0
